"AccSpeciesName","LfArea_Uncert","LfArea_WholeLf","LfArea_Lflt","SLA","Lf_Life","N_Area","N_Dry","P_Area","P_Dry","VcM_Area","VcM_Dry"
"Rhabdodendron amazonicum",9500,10522.6866918945,NA,10.9590426099868,NA,NA,NA,NA,NA,NA,NA
"Mirabilis nyctaginea",NA,NA,NA,16.3753213368804,NA,NA,26.53,NA,NA,NA,NA
"Boerhavia diffusa",NA,122.9484,122.9484,7.1051343283541,NA,NA,NA,NA,NA,NA,NA
"Bougainvillea spectabilis",NA,866,866,15.9393165184089,NA,1.65375696789214,24.0851851844444,0.0671611392740436,1.01,NA,NA
"Bougainvillea modesta",NA,NA,885.5,30.650083537,NA,NA,NA,NA,NA,NA,NA
"Neea floribunda",9500,8030.14077089782,7645.6982084623,13.640883544241,NA,2.53340302920702,35.6367099641176,0.093468123612471,1.03521451316667,NA,NA
"Pisonia aculeata",NA,1794.3018664087,1864.15093320435,18.849404,NA,1.97108721801295,37.7993119,0.107275643957954,1.92890286666667,NA,NA
"Phytolacca americana",8334.0901,6075,6075,39.6782118931217,NA,NA,42.14,NA,NA,NA,NA
"Phytolacca acinosa",NA,NA,49978.5,51.25,NA,NA,NA,NA,NA,NA,NA
"Sarcobatus vermiculatus",NA,NA,36.25,NA,NA,NA,18.3351382356,NA,NA,NA,NA
"Carpobrotus edulis",3162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carpobrotus acinaciformis",NA,NA,981.22,2.03432977694121,NA,NA,14.8,NA,NA,NA,NA
"Mesembryanthemum nodiflorum",NA,75,75,NA,NA,NA,NA,NA,NA,NA,NA
"Mesembryanthemum crystallinum",NA,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"Tetragonia tetragonoides",NA,561.9036,523.753,15.8862713179147,NA,NA,NA,NA,4.4,NA,NA
"Calandrinia granulifera",NA,NA,NA,50.805,NA,NA,NA,NA,NA,NA,NA
"Claytonia sibirica",316,NA,NA,31.603,NA,NA,NA,NA,NA,NA,NA
"Montia fontana subsp. chondrosperma",NA,NA,6.858,34.984,NA,NA,NA,NA,NA,NA,NA
"Montia fontana",17.5,NA,15.409,61.2236668766667,NA,NA,NA,NA,NA,NA,NA
"Calandrinia eremaea",NA,80.2045,101.903375,18.5332908496193,NA,NA,NA,NA,NA,NA,NA
"Anredera cordifolia",NA,2406.33733333333,2249.8024,NA,NA,NA,NA,NA,NA,NA,NA
"Portulacaria afra",NA,NA,NA,5.233,NA,3.59258551500095,13.8,0.286642461303268,1.5,NA,NA
"Portulaca oleracea",84.75,57.0030357142857,38.3718874458874,17.4234679226586,NA,0.331484996153567,17.9298407959889,NA,0.888571428571429,NA,NA
"Portulaca grandiflora",NA,247.2415,247.2415,NA,NA,NA,NA,NA,NA,NA,NA
"Opuntia humifusa",NA,17,17,NA,NA,NA,NA,NA,NA,NA,NA
"Brasiliopuntia brasiliensis",NA,NA,NA,NA,NA,NA,10.212765955,NA,NA,NA,NA
"Pereskia aculeata",NA,1649,1649,NA,NA,NA,31.705882355,NA,NA,NA,NA
"Pereskia weberiana",NA,796,796,13.29,NA,NA,NA,NA,NA,NA,NA
"Pereskia sacharosa",NA,1240,1240,13.81,NA,NA,NA,NA,NA,NA,NA
"Leuenbergeria portulacifolia",NA,92,92,11.44,NA,NA,NA,NA,NA,NA,NA
"Leuenbergeria quisqueyana",NA,639,639,25.14,NA,NA,NA,NA,NA,NA,NA
"Leuenbergeria guamacho",NA,652,652,14.5094285714286,6,1.92201909076201,23.76,0.118912797281993,1.47,NA,NA
"Leuenbergeria marcanoi",NA,384,384,24.8,NA,NA,NA,NA,NA,NA,NA
"Schlumbergera microsphaerica",NA,NA,NA,NA,NA,NA,40.83333333,NA,NA,NA,NA
"Lepismium houlletianum",NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA
"Austrocedrus chilensis",NA,14.86,14.86,5.0997195308516,29,2.13780392117647,13.0882352941176,NA,NA,39.415,0.200995905150434
"Pleiostachya pruinosa",NA,NA,NA,23.2558139649942,10,0.653600000004575,15.2,NA,NA,NA,NA
"Grahamia bracteata",NA,620.1493,620.1493,12.42,NA,NA,NA,NA,NA,NA,NA
"Hypertelis cerviana",NA,18,18,NA,NA,NA,NA,NA,NA,NA,NA
"Achatocarpus praecox",NA,675,675,NA,NA,NA,NA,NA,NA,NA,NA
"Achyranthes aspera",NA,NA,NA,16.966,NA,1.49817281622068,25.418,NA,NA,NA,NA
"Alternanthera sessilis",NA,160,160,17.15,NA,0.689655172413793,20,0.0689655172413793,2,NA,NA
"Sericostachys scandens",NA,3850,3850,NA,NA,NA,NA,NA,NA,NA,NA
"Psilotrichum africanum",NA,487.454,487.454,NA,NA,NA,NA,NA,NA,NA,NA
"Iresine diffusa",NA,4406.916,4406.916,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera ficoidea",NA,1260,1260,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus tuberculatus",NA,NA,NA,16.260162601813,NA,NA,16.32,NA,NA,NA,NA
"Amaranthus palmeri",NA,NA,NA,14.8809523809762,NA,NA,28.94,NA,NA,NA,NA
"Amaranthus blitum",NA,NA,235.755666666667,36.1486666666667,NA,NA,NA,NA,NA,NA,NA
"Amaranthus hybridus",NA,2139.0775,2139.0775,NA,NA,NA,NA,NA,5.8,NA,NA
"Amaranthus retroflexus",510.375,NA,3349.51,16.9535842733957,6,1.43558174861926,31.0555555555556,NA,NA,NA,NA
"Amaranthus caudatus",NA,NA,4095.626,19.624,NA,NA,NA,NA,NA,NA,NA
"Anabasis salsa",NA,NA,NA,2.34333647978752,NA,3.03214575246525,12.1261860779352,NA,0.6175,NA,NA
"Chenopodium acuminatum",983.333333333333,708.576607980975,521.038303990488,20.8892408613006,6,1.38811332808594,29.7460577143154,0.125567158204625,2.30835718431973,NA,NA
"Suaeda nigra",NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA
"Halocnemum strobilaceum",NA,53.7276,NA,3.42058866043646,NA,NA,12.1,NA,1.043333333325,NA,NA
"Kalidium foliatum",129.142857142857,NA,33.35,4.65978250190887,NA,2.96151415666377,14.7214916293226,NA,1.50188888889167,NA,NA
"Kalidium cuspidatum",NA,NA,NA,NA,NA,NA,27.1,NA,1.5975,NA,NA
"Kalidium caspicum",NA,NA,NA,NA,NA,NA,26.1,NA,1.1,NA,NA
