"AccSpeciesName","LfArea_Uncert","LfArea_WholeLf","LfArea_Lflt","SLA","Lf_Life","N_Area","N_Dry","P_Area","P_Dry","VcM_Area","VcM_Dry"
"Abronia fragrans",NA,NA,323,NA,NA,NA,NA,NA,NA,NA,NA
"Acantholimon diapensioides",NA,2,101,6.84195971793207,NA,NA,NA,NA,NA,NA,NA
"Acantholimon pterostegium",NA,13.9266666666667,NA,3.52032181761594,NA,NA,NA,NA,NA,NA,NA
"Acanthophyllum glandulosum",NA,11.75215,NA,6.12139441844905,NA,NA,NA,NA,NA,NA,NA
"Acanthophyllum pungens",NA,19.93,NA,6.33408333333333,NA,NA,NA,NA,NA,NA,NA
"Achatocarpus praecox",NA,675,675,NA,NA,NA,NA,NA,NA,NA,NA
"Achyranthes aspera",NA,NA,NA,16.966,NA,1.49817281622068,25.418,NA,NA,NA,NA
"Acrostichum aureum",NA,NA,NA,8.17513440625,NA,NA,NA,NA,1.1,NA,NA
"Agriophyllum squarrosum",118,96.7443860256732,68.3821930128366,12.4137615797305,6,1.57014354900293,20.2129906145282,NA,2.92,NA,NA
"Agrostemma githago",316,NA,1017.83,13.9128494098,NA,NA,NA,NA,NA,NA,NA
"Allionia incarnata",NA,2824.1473,2824.1473,15.616,NA,NA,NA,NA,NA,NA,NA
"Alternanthera albida",NA,540.443,540.443,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera angustifolia",NA,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera ficoidea",NA,1260,1260,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera pumila",NA,969.966,969.966,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera sessilis",NA,160,160,17.15,NA,0.689655172413793,20,0.0689655172413793,2,NA,NA
"Amaranthus blitoides",NA,NA,NA,17.851389314206,NA,2.38140989756123,43.2,NA,NA,NA,NA
"Amaranthus blitum",NA,NA,235.755666666667,36.1486666666667,NA,NA,NA,NA,NA,NA,NA
"Amaranthus caudatus",NA,NA,4095.626,19.624,NA,NA,NA,NA,NA,NA,NA
"Amaranthus hybridus",NA,2139.0775,2139.0775,NA,NA,NA,NA,NA,5.8,NA,NA
"Amaranthus mitchellii",NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus palmeri",NA,NA,NA,14.8809523809762,NA,NA,28.94,NA,NA,NA,NA
"Amaranthus retroflexus",510.375,NA,3349.51,16.9535842733957,6,1.43558174861926,31.0555555555556,NA,NA,NA,NA
"Amaranthus tuberculatus",NA,NA,NA,16.260162601813,NA,NA,16.32,NA,NA,NA,NA
"Anabasis aphylla",NA,NA,NA,2.91673237885248,NA,4.37399740874833,17.401261681956,NA,1.55,NA,NA
"Anabasis brevifolia",NA,NA,NA,8.6206896552,NA,NA,NA,NA,0.6,NA,NA
"Anabasis jaxartica",NA,145.8388,NA,3.22273602211454,NA,NA,NA,NA,NA,NA,NA
"Anabasis salsa",NA,NA,NA,2.34333647978752,NA,3.03214575246525,12.1261860779352,NA,0.6175,NA,NA
"Anabasis truncata",2.55,NA,NA,2.5524914640546,NA,4.58788815041136,11.7105453420458,NA,NA,NA,NA
"Ancistrocladus tectorius",NA,NA,NA,14.545,NA,0.0862839463733242,1.255,0.00756273633551048,0.11,NA,NA
"Anredera cordifolia",NA,2406.33733333333,2249.8024,NA,NA,NA,NA,NA,NA,NA,NA
"Araucaria araucana",NA,NA,30.38,3.14,288,1.84713375796178,5.8,NA,NA,NA,NA
"Arenaria aggregata",NA,NA,NA,9.64,NA,NA,NA,NA,NA,NA,NA
"Arenaria ciliata",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arenaria lanuginosa",NA,NA,NA,22.1677647836,NA,NA,17.968,NA,1.2525,NA,NA
"Arenaria lanuginosa var. saxosa",NA,36.0138095238095,NA,22.1677647836637,NA,NA,17.968,NA,1.2525,NA,NA
"Arenaria leptophylla",NA,2.007,NA,20.0498143523722,NA,NA,NA,NA,NA,NA,NA
"Arenaria montana",NA,45.1480714285714,NA,26.8606800779406,NA,1.30255892254906,26.68,NA,NA,NA,NA
"Arenaria purpurascens",NA,12.3914285714286,NA,16.9001020605946,NA,1.61176829269276,29.37,NA,NA,NA,NA
"Arenaria serpyllifolia",32,13.37,14.119,20.5302504654092,6,0.441000000004388,8.06666666666667,0.185220000001843,3.46666666666667,NA,NA
"Armeria cantabrica",NA,51.2933333333333,NA,11.9824287315417,NA,2.8341204531429,28.46,NA,NA,NA,NA
"Armeria maritima",174,74.3633333333333,99.994,14.9866614577706,NA,2.04839848117843,20.208,NA,2.5,NA,NA
"Atraphaxis bracteata",108.25,NA,26.68,NA,6,NA,NA,NA,NA,NA,NA
"Atraphaxis frutescens",137.5,NA,NA,5.97987951789818,NA,1.13461274732738,8.66105705850256,NA,1.09,NA,NA
"Atraphaxis manshurica",912.5,NA,4002,NA,6,NA,NA,NA,NA,NA,NA
"Atraphaxis pungens",NA,NA,NA,8.7527352298,NA,NA,19.8,NA,1.09,NA,NA
"Atriplex acutibractea",NA,62.3822,62.3822,5.63016245488683,NA,NA,NA,NA,NA,NA,NA
"Atriplex angulata",NA,89.3038,89.3038,6.88010785822173,NA,NA,NA,NA,NA,NA,NA
"Atriplex argentina",NA,775.0307,775.0307,6.76,NA,NA,NA,NA,NA,NA,NA
"Atriplex canescens",NA,56.4976706448911,46.8125,57.6056515101438,7,5.44454479970493,21.6142857142857,NA,NA,NA,NA
"Atriplex centralasiatica",125.8,NA,100.05,13.1218819790129,NA,1.32931863641842,17.2018722901497,NA,NA,NA,NA
"Atriplex confertifolia",NA,NA,88,NA,NA,NA,14.7268718026667,NA,NA,NA,NA
"Atriplex eardleyae",NA,87.605,87.605,11.0892405061646,NA,NA,NA,NA,NA,NA,NA
"Atriplex elachophylla",NA,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex glabriuscula",NA,NA,2729.89,16.0804285714286,NA,NA,NA,NA,NA,NA,NA
"Atriplex gmelinii",912.5,NA,166.75,NA,6,NA,NA,NA,NA,NA,NA
"Atriplex halimus",NA,764.525,90.7203125,23.6761403807601,NA,3.87555077347499,51.65,0.150808996851674,6.41,NA,NA
"Atriplex holocarpa",NA,159.7009,159.7009,13.9908153845577,NA,NA,NA,NA,NA,NA,NA
"Atriplex hortensis",NA,NA,NA,22.4265541667421,NA,2.22,52.7,NA,NA,NA,NA
"Atriplex laciniata",316,NA,1874.955,16.721,NA,NA,NA,NA,NA,NA,NA
"Atriplex laevis",NA,NA,NA,NA,NA,NA,24.97,NA,2.603,NA,NA
"Atriplex lampa",NA,36.808,36.808,5.06329113922026,NA,2.60700000001043,11.6777777777778,NA,0.783333333333333,NA,NA
"Atriplex leptocarpa",NA,92.4971,172.466216666667,16.2880188328465,NA,NA,NA,NA,NA,NA,NA
"Atriplex littoralis",NA,406,1150.03211111111,14.5272598179535,NA,NA,24.9,NA,2.61,NA,NA
"Atriplex micrantha",NA,NA,3092.625,18.095,NA,NA,NA,NA,NA,NA,NA
"Atriplex nummularia",NA,168.268333333333,169.585416666667,6.33222893585757,NA,3.263,24.564,0.093,0.705,NA,NA
"Atriplex oblongifolia",NA,NA,347.807,16.8466666666667,NA,NA,NA,NA,NA,NA,NA
"Atriplex parryi",NA,NA,NA,NA,NA,NA,10.9702352941176,NA,NA,NA,NA
"Atriplex patula",3162,990.25,1222.5,17.3763426462743,NA,NA,NA,NA,NA,NA,NA
"Atriplex polycarpa",NA,NA,NA,4.62,NA,NA,NA,NA,NA,NA,NA
"Atriplex prostrata",3162,2751.50083333334,2670.66666666667,16.2789695047382,NA,NA,NA,NA,NA,NA,NA
"Atriplex pseudocampanulata",NA,103.4484,103.4484,12.546297022914,NA,NA,NA,NA,NA,NA,NA
"Atriplex rosea",NA,NA,433.913,18.732,NA,NA,NA,NA,NA,NA,NA
"Atriplex sagittata",NA,NA,1495.197,17.4086666666667,NA,NA,NA,NA,NA,NA,NA
"Atriplex semibaccata",NA,100,100,11.95,NA,NA,NA,NA,NA,NA,NA
"Atriplex sibirica",NA,NA,NA,NA,NA,NA,28.96,NA,2.10541666666667,NA,NA
"Atriplex spongiosa",NA,53,53,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex stipitata",NA,36.0766666666667,34.7804142857143,9.07930028502288,6.33890129011802,2.41325881646211,29.435294693366,0.109959295540179,1.33571428571429,NA,NA
"Atriplex tatarica",NA,NA,493.0325,20.6273333333333,NA,NA,NA,NA,NA,NA,NA
"Atriplex vesicaria",NA,42.6185333333333,38.0099666666667,6.1672209384635,NA,NA,NA,NA,NA,NA,NA
"Austrocedrus chilensis",NA,14.86,14.86,5.0997195308516,29,2.13780392117647,13.0882352941176,NA,NA,39.415,0.200995905150434
"Axyris amaranthoides",NA,NA,NA,10.7167434017595,NA,1.6306,28.0364171428571,NA,2.58079166666667,NA,NA
"Bassia laniflora",NA,11.3,NA,7.782,NA,NA,NA,NA,NA,NA,NA
"Bassia prostrata",64.6363636363636,233.338888888889,274.30375,11.6272802534446,6,1.61536523833478,19.9937191258975,0.170264946975864,2.12957953381852,NA,NA
"Bassia scoparia",60.625,96,85.9105,25.8383328072351,6,0.987601256578408,34.9438748099956,0.0647918611796737,1.88100033335874,NA,NA
"Beta vulgaris",3162,NA,18496,21.467460571875,NA,2.80093529523323,38.1,NA,4.25,203.9868421,NA
"Bistorta affinis",NA,524,524,26.2506373663177,NA,NA,NA,NA,NA,NA,NA
"Bistorta amplexicaulis",NA,NA,NA,21.068376076188,NA,1.84585302232153,38.1527025760342,NA,NA,NA,NA
"Bistorta bistortoides",854.371428571429,3760,3760,12.2198838276092,2,2.78282001813702,32.4265833333333,NA,2.335,47.72,0.577576985472154
"Bistorta macrophylla",NA,NA,NA,18.4978963266667,NA,2.36712326521163,29.3972222216667,0.0725294869527819,1.296836276,NA,NA
"Bistorta officinalis",3162,6010.50752777778,12770.5,22.1385097396451,3.6,2.21606151573664,32.0735857184852,0.235923561197786,1.76,52.3341666666666,0.282201115516474
